"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/ANTING-KLIP-KAINA-KUPU-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55010249052?extraParams=%7B%22display_model_id%22%3A310901660451%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mo29u1hhyww633","ANTING KLIP KAINA KUPU - EMAS 17K - BUNGA TANJUNG GOLD","3.150.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-ANAK-KAWATAN-HELLO-KITTY-CAKE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.47807026727?extraParams=%7B%22display_model_id%22%3A400625307490%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mln0darctw5cb8","ANTING ANAK KAWATAN HELLO KITTY CAKE - EMAS 17K - BUNGA TANJUNG GOLD","2.646.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-ZINNIA-CRUVE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.56457397734?extraParams=%7B%22display_model_id%22%3A325657816232%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mlztu0qxh0xv60","ANTING TINDIK ZINNIA CRUVE - EMAS 17K - BUNGA TANJUNG GOLD","5.292.000","Pilih Lokal","5.0","1 terjual"
"https://shopee.co.id/ANTING-KAWATAN-SNOOPY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.54710248449?extraParams=%7B%22display_model_id%22%3A390900851455%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mo23apalabyc06","ANTING KAWATAN SNOOPY - EMAS 17K - BUNGA TANJUNG GOLD","2.016.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-ANAK-MICKEY-POLOS-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.56956994038?extraParams=%7B%22display_model_id%22%3A335625063316%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mlmxhizsgbupcb","ANTING KLIP ANAK MICKEY POLOS - EMAS 17K - BUNGA TANJUNG GOLD","4.158.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-PADNA-WILLOW-LEAF-DAUN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.29089566299?extraParams=%7B%22display_model_id%22%3A275988639222%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mo4vn2bmr11c79","ANTING PADNA WILLOW LEAF DAUN - EMAS 17K - BUNGA TANJUNG GOLD","4.410.000","Pilih Lokal","5.0","19 terjual"
"https://shopee.co.id/ANTING-TINDIK-DIVA-KIPAS-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.48206931772?extraParams=%7B%22display_model_id%22%3A108780832085%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mljc0dkav0u97c","ANTING TINDIK DIVA KIPAS BLINK - EMAS 17K - BUNGA TANJUNG GOLD","4.032.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-RANTAI-PITA-ARSIR-B-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55659037545?extraParams=%7B%22display_model_id%22%3A262547966997%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mn6n2su1qjupe1","ANTING KLIP RANTAI PITA ARSIR B - EMAS 17K - BUNGA TANJUNG GOLD","6.804.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-ANAK-KAWATAN-HELLO-KITTY-PITA-A-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55406993730?extraParams=%7B%22display_model_id%22%3A238255080238%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mln0darcshkw97","ANTING ANAK KAWATAN HELLO KITTY PITA A - EMAS 17K - BUNGA TANJUNG GOLD","3.654.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-BOLA-SHIMMER-GLITTER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.44957163298?extraParams=%7B%22display_model_id%22%3A262452569082%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mlrajzqrg3cz8d","ANTING TINDIK BOLA SHIMMER GLITTER - EMAS 17K - BUNGA TANJUNG GOLD","4.032.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-CHERRI-HATI-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.50356518790?extraParams=%7B%22display_model_id%22%3A315586994994%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mnay2vtqvshvf0","ANTING TINDIK CHERRI HATI BOLD - EMAS 18K - BUNGA TANJUNG GOLD","6.930.000","Pilih Lokal","5.0","1 terjual"
"https://shopee.co.id/ANTING-TINDIK-PITA-G-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.52709096374?extraParams=%7B%22display_model_id%22%3A425806068390%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wt-mnazm4drl1526d","ANTING TINDIK PITA G BOLD - EMAS 18K - BUNGA TANJUNG GOLD","5.670.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-ULAR-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.45659012002?extraParams=%7B%22display_model_id%22%3A325797325315%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mn58r8gh3zlw3d","ANTING KLIP ULAR C - EMAS 17K - BUNGA TANJUNG GOLD","9.576.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-ANAK-MICKEY-MINNIE-FLOWER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.44179162046?extraParams=%7B%22display_model_id%22%3A335625082468%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mlmxhizsncoxe1","ANTING KLIP ANAK MICKEY MINNIE FLOWER - EMAS 17K - BUNGA TANJUNG GOLD","4.158.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-LETTERA-FLOWER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.57258123236?extraParams=%7B%22display_model_id%22%3A380721770779%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mmk7noe26cqp0d","ANTING KLIP LETTERA FLOWER - EMAS 17K - BUNGA TANJUNG GOLD","12.979.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-OVAL-SLIM-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.26024138676?extraParams=%7B%22display_model_id%22%3A242508746589%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasd-m58iqf4x1t363a","ANTING KLIP OVAL SLIM - EMAS 17K - BUNGA TANJUNG GOLD","4.158.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KAWATAN-MEINA-LOVE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.48710019002?extraParams=%7B%22display_model_id%22%3A272595289464%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mnwq8xbunwub82","ANTING KAWATAN MEINA LOVE - EMAS 17K - BUNGA TANJUNG GOLD","2.520.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-PITA-SOLITAIRE-PINK-SAKURA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.42651566203?extraParams=%7B%22display_model_id%22%3A280126791738%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mlwuepq696o3ae","ANTING TINDIK PITA SOLITAIRE PINK SAKURA - EMAS 17K - BUNGA TANJUNG GOLD","7.434.000","Pilih Lokal","5.0","3 terjual"
"https://shopee.co.id/ANTING-KLIP-SHELL-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.57009691343?extraParams=%7B%22display_model_id%22%3A307579922891%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mnmsu57rj9xi37","ANTING KLIP SHELL - EMAS 17K - BUNGA TANJUNG GOLD","6.930.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KIDS-ANAK-KAWATAN-KUROMI-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.28302690520?extraParams=%7B%22display_model_id%22%3A108387295759%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wo-mm7bqqbbb403d1","ANTING KIDS ANAK KAWATAN KUROMI - EMAS 17K - BUNGA TANJUNG GOLD","3.528.000","27 terjual","5.0",""
"https://shopee.co.id/2-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.51406532027?extraParams=%7B%22display_model_id%22%3A385587060857%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-ml7k1iabppfn7f","2- EMAS 18K - BUNGA TANJUNG GOLD","7.245.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-TETES-AIR-SHIMMER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.10585341594?extraParams=%7B%22display_model_id%22%3A395264625231%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224x-mkt2j4xmcpvl1c","ANTING TINDIK TETES AIR SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD","2.772.000","Pilih Lokal","5.0","49 terjual"
"https://shopee.co.id/ANTING-GOLDEN-LOVE-SERIES-SDW-GOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.12725619571?extraParams=%7B%22display_model_id%22%3A290059432808%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224x-mkrutxmzhptvfd","ANTING GOLDEN LOVE SERIES - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD","4.032.000","Pilih Lokal","5.0","328 terjual"
"https://shopee.co.id/ANTING-DISNEY-MICKEY-3W-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.24953477497?extraParams=%7B%22display_model_id%22%3A204814223563%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224o-mkt9elqog3yc54","ANTING DISNEY MICKEY 3W - EMAS 17K - BUNGA TANJUNG GOLD","4.914.000","17 terjual","4.9",""
