"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/CINCIN-NIKAH-FUJI-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.24059861397?extraParams=%7B%22display_model_id%22%3A245252696361%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mo3fyoncujuo00","CINCIN NIKAH FUJI WEDDING RING - EMAS 17K - BUNGA TANJUNG GOLD","11.407.000","Pilih Lokal","5.0","4 terjual"
"https://shopee.co.id/CINCIN-VARIASI-T-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.40605131845?extraParams=%7B%22display_model_id%22%3A275433204675%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mb67btp912no74","CINCIN VARIASI T BLINK - EMAS 17K - BUNGA TANJUNG GOLD","5.040.000","Pilih Lokal","5.0","9 terjual"
"https://shopee.co.id/CINCIN-BETHANY-WILLOW-LEAF-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.12817586176?extraParams=%7B%22display_model_id%22%3A244226363872%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-mkt0gs2ejxtvf0","CINCIN BETHANY WILLOW LEAF - EMAS 17K - BUNGA TANJUNG GOLD","2.772.000","Pilih Lokal","4.9","141 terjual"
"https://shopee.co.id/CINCIN-LAYER-WAVE-POLOS-BOLD-EMAS-18K-BUNGA-TANUNG-GOLD-i.48895190.40615239174?extraParams=%7B%22display_model_id%22%3A345803159396%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mn9vvb9oqbd404","CINCIN LAYER WAVE POLOS BOLD - EMAS 18K - BUNGA TANUNG GOLD","8.316.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-6-LAYER-A-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.42658353026?extraParams=%7B%22display_model_id%22%3A360579161125%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mn9vvb9ot4i01c","CINCIN 6 LAYER A BOLD - EMAS 18K - BUNGA TANJUNG GOLD","13.104.000","Pilih Lokal","5.0","2 terjual"
"https://shopee.co.id/CINCIN-CLASSIC-FLOREN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.49359021438?extraParams=%7B%22display_model_id%22%3A420797569709%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wo-mn5h2vcs4mpv37","CINCIN CLASSIC FLOREN - EMAS 17K - BUNGA TANJUNG GOLD","9.072.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-MEIDA-CLASSIC-DOME-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55959951028?extraParams=%7B%22display_model_id%22%3A430877886595%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wn-mnuxk7yrxfk828","CINCIN MEIDA CLASSIC DOME - EMAS 17K - BUNGA TANJUNG GOLD","14.868.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-BAMBUSO-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.57409152518?extraParams=%7B%22display_model_id%22%3A365811377929%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mn9uglg8u2gy17","CINCIN BAMBUSO BOLD - EMAS 18K - BUNGA TANJUNG GOLD","7.938.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-PLAT-KOTAK-B-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.44108352720?extraParams=%7B%22display_model_id%22%3A243622538832%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wg-mnawvuomjw8z34","CINCIN PLAT KOTAK B BOLD - EMAS 18K - BUNGA TANJUNG GOLD","7.560.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-TINJU-KUPU-B-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.44759181969?extraParams=%7B%22display_model_id%22%3A445811562675%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mn9vez4h1j41c5","CINCIN TINJU KUPU B BOLD - EMAS 18K - BUNGA TANJUNG GOLD","5.418.000","Pilih Lokal","4.9 Penilaian Toko",""
