"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","truncate 2"
"https://shopee.co.id/KALUNG-JEDAR-MERICA-RAINBOW-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43856518560?extraParams=%7B%22display_model_id%22%3A295548524065%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mbklvn0fvhsu9d","KALUNG JEDAR MERICA RAINBOW - EMAS 17K - BUNGA TANJUNG GOLD","3.624.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-NAILA-FLOWER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.49910106313?extraParams=%7B%22display_model_id%22%3A380886991621%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wq-mnxrzr4b4buu7f","KALUNG NAILA FLOWER - EMAS 17K - BUNGA TANJUNG GOLD","8.820.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-KIDS-ANAK-MOANA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.47610444420?extraParams=%7B%22display_model_id%22%3A395915845251%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mo6t4c5d5fr8a1","KALUNG KIDS ANAK MOANA - EMAS 17K - BUNGA TANJUNG GOLD","7.560.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-59-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27894482543?extraParams=%7B%22display_model_id%22%3A340897765766%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mo0z0ily4b9e43","KALUNG VAR 59 - EMAS 17K - BUNGA TANJUNG GOLD","7.116.200","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-62-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.44957914238?extraParams=%7B%22display_model_id%22%3A435897905259%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wq-mo10dwowv9507d","KALUNG VAR 62 - EMAS 17K - BUNGA TANJUNG GOLD","8.815.350","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-CHOKER-BOBBA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.15699048091?extraParams=%7B%22display_model_id%22%3A315533153448%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mkxjqk48hs0731","KALUNG CHOKER BOBBA - EMAS 17K - BUNGA TANJUNG GOLD","32.004.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-SERUT-ITALY-SANTA-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.48656733057?extraParams=%7B%22display_model_id%22%3A375603411378%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mn8dach4abd41c","KALUNG SERUT ITALY SANTA BOLD - EMAS 18K - BUNGA TANJUNG GOLD","7.434.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-KIDS-ANAK-CINNAMOROLL-D-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.41303563917?extraParams=%7B%22display_model_id%22%3A177199181173%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk5-mapl20bghgdg96","KALUNG KIDS ANAK CINNAMOROLL D - EMAS 17K - BUNGA TANJUNG GOLD","7.308.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-ANAK-KIDS-SNOOPY-CROWN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27094825988?extraParams=%7B%22display_model_id%22%3A365918500665%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wg-mo7omowvnxfn8d","KALUNG ANAK KIDS SNOOPY CROWN - EMAS 17K - BUNGA TANJUNG GOLD","7.182.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-HERME-ROSE-GOLD-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.10189979051?extraParams=%7B%22display_model_id%22%3A267509624438%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224y-mkt7n2ee8x6t00","KALUNG HERME ROSE GOLD - EMAS 17K - BUNGA TANJUNG GOLD","7.809.000","4.9","Pilih Lokal","236 terjual"
"https://shopee.co.id/KALUNG-KIDS-ANAK-ANIMALS-DUMBO-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55460011288?extraParams=%7B%22display_model_id%22%3A277595281973%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mnwph0jwn5kze1","KALUNG KIDS ANAK ANIMALS DUMBO - EMAS 17K - BUNGA TANJUNG GOLD","6.552.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-SMILEY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.20452631750?extraParams=%7B%22display_model_id%22%3A217098436679%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wq-mlvrnerk0qv567","KALUNG SMILEY - EMAS 17K - BUNGA TANJUNG GOLD","9.576.000","5.0","Pilih Lokal","22 terjual"
"https://shopee.co.id/KALUNG-VAR-54-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.56807741777?extraParams=%7B%22display_model_id%22%3A400897626424%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wu-mo0x4ppftiwxf0","KALUNG VAR 54 - EMAS 17K - BUNGA TANJUNG GOLD","6.997.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-HOLLOW-DIVA-TWIN-KIPAS-BS-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.56957146420?extraParams=%7B%22display_model_id%22%3A335637023391%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wt-mlr9pqx3fmroa7","KALUNG HOLLOW DIVA TWIN KIPAS BS - EMAS 17K - BUNGA TANJUNG GOLD","16.002.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-RANTAI-TETES-B-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.42220327686?extraParams=%7B%22display_model_id%22%3A244098456771%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81ztl-mevg7e6vcow094","KALUNG RANTAI TETES B - EMAS 17K- BUNGA TANJUNG GOLD","28.350.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-RANTAI-INFINITY-NOVA-EDGE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.46058966334?extraParams=%7B%22display_model_id%22%3A440792542294%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wu-mn42kss78av9d8","KALUNG RANTAI INFINITY NOVA EDGE - EMAS 17K - BUNGA TANJUNG GOLD","8.442.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-KUROMI-B-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.41320384766?extraParams=%7B%22display_model_id%22%3A271665399243%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81ztl-meweqk7i7oxse3","KALUNG KUROMI B - EMAS 17K - BUNGA TANJUNG GOLD","8.064.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-TETES-AIR-BULAT-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.40613074910?extraParams=%7B%22display_model_id%22%3A129422844100%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mktg55opiqkjde","KALUNG TETES AIR BULAT - EMAS 17K - BUNGA TANJUNG GOLD","6.552.000","5.0","Pilih Lokal","10 terjual"
"https://shopee.co.id/KALUNG-TETES-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43806384990?extraParams=%7B%22display_model_id%22%3A420864309839%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-mkuffelayn7oe0","KALUNG TETES C - EMAS 17K - BUNGA TANJUNG GOLD","8.316.000","5.0","Pilih Lokal","7 terjual"
"https://shopee.co.id/KALUNG-2-LAYER-HATI-MAIRE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.44508143592?extraParams=%7B%22display_model_id%22%3A320721725568%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mmk86uyqlszpbb","KALUNG 2 LAYER HATI MAIRE - EMAS 17K - BUNGA TANJUNG GOLD","18.648.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-VAR-40-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22265048348?extraParams=%7B%22display_model_id%22%3A345913257440%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mo68odyi05xc3d","KALUNG VAR 40 - EMAS 17K - BUNGA TANJUNG GOLD","8.709.100","5.0","Pilih Lokal","5 terjual"
"https://shopee.co.id/KALUNG-HOLLOW-TETES-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.53608093022?extraParams=%7B%22display_model_id%22%3A320719516848%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wu-mmjtfq4yxb0j8c","KALUNG HOLLOW TETES C - EMAS 17K - BUNGA TANJUNG GOLD","7.182.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-SERUT-KUPU-KUPU-TWIN-BOBBA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.53656331677?extraParams=%7B%22display_model_id%22%3A345572458175%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-ml1kil9q8kjo27","KALUNG SERUT KUPU KUPU TWIN BOBBA - EMAS 17K - BUNGA TANJUNG GOLD","18.522.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-KIDS-ANAK-HELLO-KITTY-SOLITAIRE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.48106995412?extraParams=%7B%22display_model_id%22%3A400623250266%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wu-mllyteh64idf32","KALUNG KIDS ANAK HELLO KITTY SOLITAIRE - EMAS 17K - BUNGA TANJUNG GOLD","7.560.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-LOVE-CROWN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.41780080170?extraParams=%7B%22display_model_id%22%3A355786706433%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mn2n5eyr8mpwe0","KALUNG LOVE CROWN - EMAS 17K - BUNGA TANJUNG GOLD","5.544.000","4.9 Penilaian Toko","Pilih Lokal",""
